logical,label,filter,number,signed_p,p,phi,phi_deg,alpha
1,A,thick,1,0.45501032,0.45501032,0.16948766,9.710927598,0.56
2,A,thick,2,0.42214665,0.42214665,0.06291656,3.604853349,0.46
3,A,thick,3,0.3798313,0.3798313,6.2271614,356.7900666,0.34
4,A,thick,4,0.32760087,0.32760087,6.0974784,349.359778,0.21
5,A,thick,5,0.26641712,0.26641712,5.9603724,341.5041828,0.07
6,A,thick,6,0.19890478,0.19890478,5.8206005,333.4958429,0.07
7,A,thick,7,0.12890236,0.12890236,5.683494,325.6402191,0.21
8,A,thick,8,0.06044137,0.06044137,5.5538116,318.2099649,0.34
9,A,thick,9,-0.00326962,0.00326962,2.293278,131.3951507,0.46
10,A,thick,10,-0.06034202,0.06034202,2.1867068,125.2890707,0.56
11,B,thick,1,0.17587021,0.17587021,0.16948766,9.710927598,0.56
12,B,thick,2,0.12075974,0.12075974,0.06291656,3.604853349,0.46
13,B,thick,3,0.05766373,0.05766373,6.2271614,356.7900666,0.34
14,B,thick,4,-0.01202817,0.01202817,2.9558856,169.3597696,0.21
15,B,thick,5,-0.08546554,0.08546554,2.8187795,161.5041687,0.07
16,B,thick,6,-0.15867056,0.15867056,2.6790075,153.495823,0.07
17,B,thick,7,-0.22748113,0.22748113,2.5419014,145.6402222,0.21
18,B,thick,8,-0.2886575,0.2886575,2.4122188,138.2099565,0.34
19,B,thick,9,-0.34052804,0.34052804,2.293278,131.3951507,0.46
20,B,thick,10,-0.38293716,0.38293716,2.1867068,125.2890707,0.56
21,C,thick,1,0.1910814,0.1910814,1.5146625,86.78376864,0.34
22,C,thick,2,0.1250954,0.1250954,1.3849714,79.35301597,0.21
23,C,thick,3,0.0530729,0.0530729,1.2478604,71.49713434,0.07
24,C,thick,4,-0.02136374,0.02136374,4.249681,243.4887856,0.07
25,C,thick,5,-0.09398238,0.09398238,4.1125793,235.6334368,0.21
26,C,thick,6,-0.16106625,0.16106625,3.9829047,228.2036295,0.34
27,C,thick,7,-0.22024085,0.22024085,3.863974,221.3894023,0.46
28,C,thick,8,-0.27064124,0.27064124,3.757414,215.2839641,0.56
29,C,thick,9,-0.31256205,0.31256205,3.663433,209.8992494,0.66
30,C,thick,10,-0.34694746,0.34694746,3.581309,205.1938908,0.74
31,D,thick,1,-0.14793523,0.14793523,4.6566324,266.8053833,0.34
32,D,thick,2,-0.0803607,0.0803607,4.526949,259.3750718,0.21
33,D,thick,3,-0.00746861,0.00746861,4.3898315,251.5188177,0.07
34,D,thick,4,0.06698128,0.06698128,1.1084452,63.50923178,0.07
35,D,thick,5,0.13875474,0.13875474,0.9713095,55.65193495,0.21
36,D,thick,6,0.20426911,0.20426911,0.8415933,48.21974416,0.34
37,D,thick,7,0.26136634,0.26136634,0.7226188,41.40300744,0.46
38,D,thick,8,0.30940977,0.30940977,0.6160168,35.29516275,0.56
39,D,thick,9,0.34888372,0.34888372,0.52199817,29.90829205,0.66
40,D,thick,10,0.38086545,0.38086545,0.4398422,25.20110171,0.74
41,A,thin,11,0.45501032,0.45501032,0.16948766,9.710927598,0.56
42,A,thin,12,0.42214665,0.42214665,0.06291656,3.604853349,0.46
43,A,thin,13,0.3798313,0.3798313,6.2271614,356.7900666,0.34
44,A,thin,14,0.32760087,0.32760087,6.0974784,349.359778,0.21
45,A,thin,15,0.26641712,0.26641712,5.9603724,341.5041828,0.07
46,A,thin,16,0.19890478,0.19890478,5.8206005,333.4958429,0.07
47,A,thin,17,0.12890236,0.12890236,5.683494,325.6402191,0.21
48,A,thin,18,0.06044137,0.06044137,5.5538116,318.2099649,0.34
49,A,thin,19,-0.00326962,0.00326962,2.293278,131.3951507,0.46
50,A,thin,20,-0.06034202,0.06034202,2.1867068,125.2890707,0.56
51,B,thin,11,0.17587021,0.17587021,0.16948766,9.710927598,0.56
52,B,thin,12,0.12075974,0.12075974,0.06291656,3.604853349,0.46
53,B,thin,13,0.05766373,0.05766373,6.2271614,356.7900666,0.34
54,B,thin,14,-0.01202817,0.01202817,2.9558856,169.3597696,0.21
55,B,thin,15,-0.08546554,0.08546554,2.8187795,161.5041687,0.07
56,B,thin,16,-0.15867056,0.15867056,2.6790075,153.495823,0.07
57,B,thin,17,-0.22748113,0.22748113,2.5419014,145.6402222,0.21
58,B,thin,18,-0.2886575,0.2886575,2.4122188,138.2099565,0.34
59,B,thin,19,-0.34052804,0.34052804,2.293278,131.3951507,0.46
60,B,thin,20,-0.38293716,0.38293716,2.1867068,125.2890707,0.56
61,C,thin,11,0.1910814,0.1910814,1.5146625,86.78376864,0.34
62,C,thin,12,0.1250954,0.1250954,1.3849714,79.35301597,0.21
63,C,thin,13,0.0530729,0.0530729,1.2478604,71.49713434,0.07
64,C,thin,14,-0.02136374,0.02136374,4.249681,243.4887856,0.07
65,C,thin,15,-0.09398238,0.09398238,4.1125793,235.6334368,0.21
66,C,thin,16,-0.16106625,0.16106625,3.9829047,228.2036295,0.34
67,C,thin,17,-0.22024085,0.22024085,3.863974,221.3894023,0.46
